,/Whole Program/Application::run/HC run simulation/TOS-output data,/Whole Program/Application::run,/Whole Program/Application::run/HC run simulation/HC water zero time step/SchurComplement::solve,/Whole Program/Application::run/HC run simulation/HC water zero time step/SchurComplement::solve/SchurComplement::solve,/Whole Program,/Whole Program/Application::run/HC run simulation/HC water zero time step/SchurComplement::solve/SchurComplement::solve/PETSC linear solver/PETSC linear iteration,/Whole Program/Application::run/HC run simulation/HC water zero time step/SchurComplement::solve/SchurComplement::solve/PETSC linear solver,/Whole Program/Application::run/HC run simulation,/Whole Program/Application::run/HC run simulation/TOS-one step,/Whole Program/Application::run/HC run simulation/HC water zero time step,machine
20,0.06638100883856543,0.09707476281528006,0.10108508899208137,0.10109251495033958,0.0958566812566976,0.11027687378676744,0.11027722387834059,0.09738216206512698,0.11672749738896698,0.10384618602783388,luna
21,0.06415584295770295,0.09734550739970409,0.10400456798933908,0.1040112755470423,0.09583673919534319,0.11078983915543576,0.11079005262274885,0.0972065938138621,0.11122686123654461,0.10463272008227696,luna
22,0.06334754549867509,0.09692250544735354,0.10528671971166105,0.10530140785498379,0.0958529991412052,0.11085252530047884,0.11085222214600604,0.0966136940432554,0.11037579155199653,0.10459458930438463,luna
23,0.06249013350109206,0.09586796680510579,0.10533072378529562,0.10534581403341164,0.09557245897093708,0.11347299927857059,0.11347256413766121,0.09530434612351124,0.10903338113905987,0.10410961222535482,luna
24,0.06287004954913564,0.09611520018872616,0.10533669939486948,0.10532164911012672,0.09475691519021909,0.11422701441932451,0.11422662921192143,0.09450504597068937,0.10932038240268958,0.10332041456229812,luna
25,0.06437053853908149,0.09501568359173783,0.10615245825165559,0.10618039817735564,0.09414137081096502,0.11370144853455018,0.1137009674992443,0.09371111435819504,0.10881652082201403,0.104209499415201,luna
26,0.06296535779304696,0.09264381281896777,0.1066829281352153,0.10671007581630258,0.09687845616218063,0.11717962433131111,0.11717876705126307,0.09238075754971597,0.10651480644739404,0.10086541389460266,luna
27,0.04625226591133094,0.08934865469872495,0.11846480625414021,0.1184577122319501,0.08697238444870713,0.13084397985717247,0.13084537626536163,0.08621548093395676,0.09290679278501598,0.09969254661363969,luna
28,0.13265274822160966,0.10400718558238065,0.08598051789053728,0.08592307752681419,0.09875289485017541,0.0937309180968201,0.0937347518016508,0.10734151403815363,0.10609979173167837,0.09177660026018003,mudrc
29,0.1529502973087512,0.1012403491607011,0.08340655571853933,0.08334557944117811,0.09820706612476415,0.0906018055667735,0.09060259778707938,0.10665410331407789,0.10358895630395495,0.08940268927418034,mudrc
30,0.1572128242791628,0.10012433512314267,0.08851884120727671,0.08848313739806159,0.10257674039640399,0.08506059388466664,0.08506190674144533,0.10625523877369597,0.09731326091393136,0.08939312128221293,mudrc
31,0.15998580003306995,0.10903372477393765,0.08527077522545101,0.08523893752719161,0.1081263525768555,0.07869639941771248,0.07869673797105503,0.11745346125334889,0.08998922170914733,0.0875085895122305,mudrc
32,0.16497564774173804,0.10418237778854711,0.09437188520963356,0.09436721810461324,0.10617562579835779,0.07255825230352288,0.07255863810105248,0.11154478451758511,0.08300617201591509,0.09625939841903469,mudrc
33,0.19095873384878562,0.09905419136855001,0.09973163533704334,0.09976041602477059,0.10415153425726123,0.06410684792144278,0.06410776057618388,0.10372111364510006,0.07498726227577318,0.09942050474508939,mudrc
34,0.057678038634037816,0.10787834558732042,0.0995693566025832,0.09957327010973947,0.1054432307853808,0.10886727694459453,0.10886584450937827,0.0986689434263121,0.11188227808745144,0.10157341531320195,tarkil
35,0.057488099115283055,0.10627871066682544,0.10069429772067738,0.10069955274926043,0.10470627471991777,0.109683110659309,0.10968253824895131,0.09613183259998853,0.11391159961770965,0.10072398390207761,tarkil
36,0.05691939529314759,0.10576190805803086,0.10197275890835543,0.10197041331490246,0.10315329906957804,0.11147443953078705,0.11147325477512196,0.09493323253971109,0.11285844100041936,0.09948285750994619,tarkil
37,0.05661479945851657,0.10533834615261845,0.10226259164539575,0.10222211913940425,0.10388574039704916,0.11124394000732205,0.11124430559464228,0.09510339381977975,0.11275772061940689,0.09932704316586474,tarkil
38,0.056233901241013025,0.10433635943420115,0.1025521376944253,0.10254750015935948,0.10314110608352575,0.11209907419982221,0.11209754728601903,0.09495840878088552,0.11239302369419359,0.09964094142655486,tarkil
39,0.05455946137143542,0.10001398061331354,0.10768575272856987,0.10769764493325865,0.09786266822310324,0.11770945459825519,0.11770742726064654,0.09086039333144502,0.10680893528732727,0.09909428165264529,tarkil
40,0.05352251723495342,0.10161573216960447,0.10586931150211422,0.10582290970201,0.09943171166975484,0.11589525717141798,0.11589406689846887,0.08924334336059303,0.10869925168507504,0.10400589860600822,tarkil
41,0.04851727787436159,0.09588880638605025,0.11407460214233642,0.11406961563419754,0.09298307143947024,0.1262117971232193,0.12620957039269337,0.08769566034919193,0.09471013796144905,0.0996394606970302,tarkil
